,normal_mean,anomaly_mean,absolute_difference
operating_load,0.6466211597743303,0.6796673519112153,0.03304619213688498
ambient_temperature,23.883141458419885,24.12870160159326,0.2455601431733747
temperature,74.21454504940924,80.76304470716933,6.54849965776009
vibration,3.109065592904374,5.521008260123704,2.4119426672193303
pressure,7.0533407197404285,6.511216462268739,0.5421242574716896
rpm,2315.5979228451815,2454.033858875035,138.43593602985356
motor_current,42.326731806989685,45.05501809742515,2.728286290435463
acoustic_level,65.67898720630086,70.06122648983995,4.382239283539093
flow_rate,123.43504917397782,118.93948988369078,4.495559290287034
hours_since_maintenance,991.3675464504356,1085.3602339816991,93.99268753126353
