,count,mean,std,min,25%,50%,75%,max
operating_load,7000.0,0.6479760536519427,0.17892390400454952,0.06547430432785012,0.5269525064400503,0.6640521890090492,0.7873281333309414,0.9978820255004056
ambient_temperature,7000.0,23.893209424289992,4.97840898398185,4.466061952177984,20.606443106613995,23.861477187744924,27.153925654804624,44.42708982204184
temperature,7000.0,74.4830335353774,6.7537254747093955,52.66539142432171,70.06351905057892,74.61387738898989,79.04586919062466,113.03223715886983
vibration,7000.0,3.2079552422603665,0.9454673081709406,0.7005134705521634,2.685951371308275,3.1580345206257188,3.6023159112773575,11.433595499177844
pressure,7000.0,7.031113625184089,0.5190427876224593,3.7132612975853325,6.727553608340842,7.063909381699302,7.381408584716344,8.566075316771924
rpm,7000.0,2321.2737962224055,314.30596051288285,1254.2260207123652,2111.7056660847866,2343.800422981892,2555.3782729227746,3586.6741108545743
motor_current,7000.0,42.438591544897534,7.722566841069916,14.151387567936606,37.24759654480242,42.99238315544943,48.22208167348104,62.70299628381667
acoustic_level,7000.0,65.85865901692597,3.6983905733344287,53.860482186826005,63.44455092846255,65.92367745949743,68.21842751003683,88.31646428461787
flow_rate,7000.0,123.25073124307607,4.87171818119687,91.02438168063011,120.21518056096455,123.27879266162964,126.39071886926213,138.69588393034942
hours_since_maintenance,7000.0,995.2212466392175,423.25726212565706,22.182377565435765,668.4515105166699,996.6162301361408,1321.4270067592743,1960.4359895589155
anomaly,7000.0,0.041,0.19830435648906766,0.0,0.0,0.0,0.0,1.0
